Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",2013,2013,ha,7816,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",2013,2013,100 g/ha,199719,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",2013,2013,t,156100,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",2014,2014,ha,6651,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",2014,2014,100 g/ha,200119,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",2014,2014,t,133099,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",2015,2015,ha,7844,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",2015,2015,100 g/ha,235354,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",2015,2015,t,184612,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",2016,2016,ha,6272,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",2016,2016,100 g/ha,233678,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",2016,2016,t,146563,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",2017,2017,ha,13855,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",2017,2017,100 g/ha,230713,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",2017,2017,t,319653,A,Official figure,
QCL,Crops and livestock products,562,Niger,5312,Area harvested,1520.01,"Cassava, fresh",2018,2018,ha,15875,A,Official figure,
QCL,Crops and livestock products,562,Niger,5419,Yield,1520.01,"Cassava, fresh",2018,2018,100 g/ha,234592,A,Official figure,
QCL,Crops and livestock products,562,Niger,5510,Production,1520.01,"Cassava, fresh",2018,2018,t,372408.29,A,Official figure,
